"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"P09110",288001.7778,237958.4833,297711.2,263299.0583,222387.2083,177210.95,280540.2583,235242.4556,302761.3833,177772.0361,268122.8361,163965.7639
"P05166",246687.75,253890.9056,314250.0694,258247.0806,284934.4944,245595.875,240054.7583,250479.2778,327799.0389,203666.25,201171.9389,240054.7583
"Q96RP9",37872.59722,40359.89444,73975.35,98642.34167,91995.30278,37735.47778,39584.43611,67976.03333,46763.47778,34436.2,92823.64722,62603.47222
"Q15417",28364.89722,0,0,14171.12222,27593.38056,23144.21389,24907.93611,0,25129.85556,20057.05833,37526.54444,30434.37222
"Q96FQ6",0,0,0,11359.64167,18677.57778,12617.17778,0,0,20589.93333,0,18760.08056,0
"P62820",0,0,0,0,0,0,32596.28333,0,0,0,0,0
"P27169",0,58436.30556,0,0,0,36282.92222,0,0,0,0,0,38443.16111
"Q9UL46",33680.65278,59047.325,33256.26111,40286.825,40567.00556,42876.78056,33768.26667,59915.42222,38443.16111,29748.37222,31585.27778,36825.06389
"P08237",39644.09722,54240.60556,136063.9972,137596.7167,140860.8611,96590.73056,155550.8472,47697.29444,136063.9972,136629.5861,143056.5028,101544.7639
"P04040",292456.0528,239229.2278,258247.0806,293727.3139,259314.5667,204722.1472,290924.3778,237958.4833,271920.3667,297711.2,263299.0583,196996.7833
"Q8WYA6",0,0,0,0,0,0,0,0,0,0,0,0
"Q9H0W9",454591.5833,393512.7472,365975.5472,417999.9306,474797.0194,427427.9944,441856.5167,370040.4583,363784.5722,457756.2306,529672.9389,435248.4444
"P31948",76018.00556,83516.5,75613.88611,65948.93611,81635.41944,67749.80556,69039.95833,85600.46944,65262.98611,65130.74167,94182.11389,63816.85
"O94901",57623.33889,0,72273.86111,58063.49167,0,0,60013.65556,0,71252.18889,0,0,0
"Q99714",175372.7444,181096.8333,222387.2083,202618.1889,191537.0444,196208.4583,183892.9583,179981.8806,233372.8583,217235.1083,202618.1889,199390.7111
"Q15833",14224.84722,14303.04722,16316.32778,11459.84167,12617.17778,14224.84722,13283.71389,20057.05833,17380.48611,16542.78611,15689.55278,16600.60833
"P08195",50797.625,63302.14444,85345.175,100616.2694,76579.02222,44010.16389,80199.58056,72273.86111,75858.82778,108554.7139,79584.07222,43023.30556
"P26038",333342.6833,421056.1528,241992.2528,367784.6583,404349.8083,292456.0528,273261.6639,404349.8083,222387.2083,341137.1667,347082.4778,253890.9056
"P09104",0,0,0,0,0,0,0,0,0,0,0,0
"P07148",1219163.714,861796.25,940141.9917,1057986.386,789446.125,221564.9694,1162785.536,805128.3833,970053.3306,1057986.386,838302.8639,227900.2778
"Q96Q11",0,0,0,0,0,0,0,0,0,0,0,0
"O15083",0,0,0,0,0,0,0,0,0,0,0,0
"Q15911",0,178745.2667,205865.0722,189860.4833,0,0,0,0,0,216312.2306,0,249685.2694
"Q9BUR5",35479.70278,27260.10833,40140.37222,47185.33333,28517.16944,40140.37222,34436.2,36956.08333,47858.23889,32882.37222,35358.80556,33768.26667
"Q9UJ83",417999.9306,435248.4444,336790.7667,274264.6194,317227.1472,336790.7667,446678.9083,390317.4667,307204.9611,335047.875,333342.6833,327799.0389
"Q8WUM4",50008.50556,70504.27222,59047.325,52110.30556,67555.47222,68597.03333,64108.37222,70903.29444,49821.31667,51791.05,65948.93611,64790.48611
"P53597",387432.1583,228946.2806,310472.525,299487.4639,245595.875,270810.8833,357417.5972,205171.55,288001.7778,304443.9417,218057.1139,263299.0583
"O00186",0,0,0,0,0,0,15575.29444,0,0,0,0,0
"Q8N335",52415.71111,59328.50556,54240.60556,50443.02778,52700.48333,45502.31667,54737.36111,62380.68889,54839.00278,52194.85833,52572.61389,53332.26944
"P08621",48594.65,47269.06944,44306.31944,49636.30833,52477.21389,0,33003.63611,49636.30833,0,77962.16667,50797.625,58798.93889
"Q969V6",0,55954.91667,74269.09167,0,72497.49722,89662.875,72021.55278,0,0,0,0,0
"P08311",0,46154.89444,0,0,0,0,0,46895.875,0,0,0,0
"Q9UKU7",46053.91944,50179.16389,64601.65278,41974.24167,41840.20556,42678.39444,46053.91944,49467.07222,61900.07778,45014.49444,40567.00556,44397.45278
"Q86X76",75613.88611,61068.98333,80199.58056,84009.8,78547.76944,76153.19167,70713.01944,59540.84444,78753.84722,91127.04167,73098.975,67663.88889
"P05162",33491.8,35565.02778,52415.71111,36763.91944,35479.70278,24907.93611,34916.06389,30730.15278,32815.68333,54478.54167,40420.68611,32270.83611
"P23946",0,0,0,0,0,0,0,0,0,0,0,0
"P01834",462133.8694,692332.4639,296507.8694,312295.6222,566103.9194,325019.5944,499422.7611,706520.2861,322906.225,321442.6944,540115.8056,248839.1306
"P14868",12567.36389,54554.36667,30209.1,29430.84444,61667.10556,81193.98889,76929.26389,54839.00278,50108.55,79458.76944,61346.325,69163.64722
"Q9H773",0,0,0,0,0,0,0,0,0,0,0,0
"Q14980",4583.052778,0,6838.705556,0,1459.711111,2601.4,9504.372222,6615.541667,11359.64167,0,10538.05278,11401.85833
"O75390",179524.6167,223143.9167,212292.8167,187566.7972,204722.1472,233372.8583,178254.9972,234531.5528,219709.9306,198108.9361,204267.3556,247871.4917
"Q96EM0",47185.33333,0,0,0,38953.74722,0,43023.30556,0,0,26563.475,37786.89722,0
"Q9Y4G6",0,65665.83611,83516.5,97756.43611,82644.38333,64901.59167,87306.24722,73524.28056,85899.78889,92973.79722,78753.84722,66240.01667
"P68400",0,0,0,0,0,0,11115.65833,0,0,0,0,0
"Q02928",40567.00556,0,46154.89444,60416.61111,33388.925,72866.16111,34579.48056,0,41974.24167,63732.60278,0,65757.16389
"P31946",170638.1389,160691.3417,141996.6361,161046.5389,163095.2222,136362.2056,163965.7639,163965.7639,140526.2972,160172.6972,166291.0361,136875.9056
"P15144",732383.5028,572844.5944,861796.25,1162785.536,746003.8694,591008.7972,760797.7639,554483.0056,861796.25,1380456.189,820257.1583,692332.4639
"P53621",64901.59167,83842.96667,59138.54722,71906.43056,71375.86667,79584.07222,60214.33611,78654.15556,65948.93611,34116.76111,78078.69722,74269.09167
"P02656",106433.9889,38072.94444,124023.9972,77225.75,51480.32778,83516.5,124568.0333,56917.53889,129359.2306,87688.4,89991.46111,99968.925
"Q9Y303",0,0,45107.12778,45258.62222,39719.26389,0,58932.00278,0,46353.275,65948.93611,53026.19444,0
"Q9Y2R0",0,0,63640.03333,0,0,0,0,0,0,0,0,58932.00278
"Q9NYF8",65757.16389,0,63988.55,60605.32778,54478.54167,26881.08056,0,0,67454.83889,54990.34444,43653.46944,21073.91944
"Q53HC9",0,0,0,21763.84444,0,19019.675,0,0,0,0,0,0
"P53367",0,23942.70278,0,0,0,0,0,0,0,0,19314.16944,0
"O75396",25318.95,17309.98333,26628.23889,24475.95556,13642.38333,21553.00278,9347.894444,12684.50278,17204.06944,0,24411.29444,22426.11389
"Q14019",341137.1667,161046.5389,319228.3694,317227.1472,331530.4917,118793.3722,343261.9917,174984.4722,338839.6556,322906.225,327799.0389,161859.3417
"P35573",0,0,0,0,0,0,0,0,0,0,0,0
"O00429",16477.30556,10577.49444,18760.08056,12154.00556,14102.79722,14102.79722,17258.51667,15001.91111,19764.20278,24184.96667,26093.66667,27066.25833
"O95379",0,0,0,0,0,0,0,0,0,0,0,0
"P00439",110112.0222,24059.85833,94670.17778,102116.3306,74058.15278,40795.66111,110367.1861,26232.09167,99433.58889,101308.6278,76292.56667,34386.66389
"Q9P2R7",174111.8389,151044.7472,205171.55,204722.1472,175808.5028,208762.6028,174111.8389,159751.1667,204722.1472,207384.6972,196208.4583,202049.2139
"P80748",7712.3,41576.85,5836.422222,2064.747222,6919.769444,17826.70833,8404.697222,46957.70278,8132.7,8792.511111,9416.930556,16703.18056
"P55786",58530.55,47551.11944,62003.42222,57080.76111,88571.79722,60140.20833,54919.61389,50443.02778,65130.74167,62940.28333,72396.48333,60527.23333
"P23246",52786.48889,58932.00278,53619.98889,51189.29444,64702.21944,66141.675,53711.55833,55348.77778,52272.02222,52110.30556,58361.84167,61346.325
"Q8N3K9",79584.07222,79816.24167,95951.08056,60527.23333,59540.84444,67879.775,77348.16944,76292.56667,88437.70278,68194.41389,62940.28333,61155.07222
"Q16181",39785.63333,38130.55,33974.14167,33680.65278,43429.14444,42032.725,39433.15556,42876.78056,38365.15,36073.49722,40075.73611,34579.48056
"P61020",13744.35278,6838.705556,0,10993.76944,4583.052778,12494.7,15847.525,0,0,0,0,8603.886111
"P57737",0,0,0,0,0,0,0,0,0,0,0,0
"P36405",0,13873.04444,13642.38333,10482.31944,8132.7,0,0,15661.62083,11401.85833,36493.12222,32336.43056,0
"Q9Y2X3",0,0,0,0,0,0,0,0,0,0,0,0
"Q7LG56",0,0,0,0,0,0,0,0,0,0,0,0
"Q9Y6C2",110367.1861,18831.54444,75727.375,88437.70278,129657.6861,80102.56944,140112.6278,61249.40278,108357.3056,89662.875,127797.3361,116010.1111
"O15144",83236.9,86943.43056,66240.01667,82372.62778,82939.10556,87502.26389,87688.4,82784.10833,85464.76389,87958.77778,86748.57778,89524.71944
"O00442",0,33069.91389,51690.70556,5836.422222,0,0,9837.458333,54056.81111,0,20275.925,0,0
"Q9BUQ8",0,0,0,0,0,0,5744.636111,0,0,0,0,0
"Q9Y285",0,0,0,0,5836.422222,0,0,0,0,0,0,0
"Q15366",41077.87222,104642.8528,38266.54167,207384.6972,123793.9444,47788.14722,110778.1306,172575.7444,39920.875,0,133921.8944,42741.92222
"O94986",544909.675,494067.2389,469971.2417,559863.85,505272.675,435248.4444,554483.0056,462133.8694,462133.8694,606496.8472,509155.2389,449960.5111
"P16435",0,0,25129.85556,0,16143.24444,26788.92778,0,0,0,0,24059.85833,20275.925
"P50336",11758.93889,2498.825,17029.86667,4061.402778,8866.933333,2734.252778,6919.769444,5255.061111,11856.60417,11359.64167,5920.558333,6838.705556
"P27694",11832.575,0,20961.98611,13793.52222,13166.66389,18760.08056,18518.53611,0,0,12617.17778,17778.32222,18760.08056
"Q9Y624",0,0,0,27310.46389,0,27509.79444,0,22562.35278,0,23144.21389,0,28649.975
"P08754",7002.047222,6569.588889,9416.930556,4583.052778,7331.05,6615.541667,8866.933333,9611.819444,11856.60417,11279.84722,8469.238889,12107.39444
"O15439",0,0,0,0,0,0,0,0,0,0,0,0
"Q14108",0,10354.89722,0,0,0,0,0,0,0,0,0,0
"Q9H0N5",0,0,0,0,0,0,0,0,0,0,0,0
"P55265",0,0,0,0,0,0,0,0,0,0,0,0
"P23142",37386.23333,0,5678.075,14224.84722,16600.60833,0,0,24475.95556,0,40204.65,25608.95278,35479.70278
"Q9Y4F1",3060.441667,16653.17778,13744.35278,9120.119444,26563.475,25608.95278,10785.31944,20589.93333,9945.716667,24705.79167,24907.93611,23009.54444
"P07902",29308.43333,26438.35278,0,34042.56667,0,20640.28889,31345.97222,30264.74167,25487.30278,37258.59167,20346.63889,22251.10556
"P16671",0,0,0,0,0,0,0,0,0,0,0,0
"Q96FV2",44536.32222,0,35565.02778,34506.98889,14566.58056,0,48208.46111,0,40204.65,0,0,0
"P04843",34916.06389,49467.07222,41425.13611,46219.51944,40738.92778,46353.275,34176.425,63415,40359.89444,71658.52222,50724.91389,56058.65278
"P07585",159013.2611,74915.41111,92200.61944,105371.4444,108357.3056,204267.3556,155885.6306,77488.90556,110367.1861,119650.7611,92512.36667,208762.6028
"P61006",9347.894444,16249.23333,0,16907.93333,0,0,0,15116.90556,0,12874.95278,0,0
"P05109",13938.16944,0,0,0,11680.59444,18677.57778,16477.30556,13339.98889,0,0,14566.58056,16382.90556
"Q14498",26686.24167,0,0,0,0,0,0,0,0,0,0,0
"Q8TF65",5744.636111,3030.827778,7830.575,3008.275,1251.513889,0,6723.505556,6501.191667,10482.31944,8866.933333,5678.075,4529.997222
"Q9NP58",183399.7111,190935.1833,174540.8333,167482.0833,243907.8889,203666.25,180535.0917,168883.1167,0,189251.4111,183892.9583,181573.1667
"P46019",0,0,0,0,0,0,0,0,0,0,0,0
"O75489",141575.7361,157255.7889,188742.4917,172575.7444,137596.7167,214743.125,141996.6361,165285.9417,192915.5889,170638.1389,142679.6028,191537.0444
"Q96BI1",0,12744.35,0,0,6501.191667,0,0,19764.20278,0,0,0,8569.097222
"P50914",0,71139.86111,0,81957.88611,57523.94167,75282.1,64702.21944,80903.05278,69379.75556,0,0,0
"Q9Y6M9",42632.01667,44010.16389,51910.26667,58282.48333,47954.475,71011.47778,66240.01667,36228.75,48954.48611,56433.61389,73747.38056,49327.24444
"Q9BVL4",14687.36667,8667.869444,22055.12778,18957.21389,9791.452778,15001.91111,20825.75278,10890.85833,28403.81389,21949.825,14373.54444,17146.31111
"Q13247",98250.03333,0,0,0,0,0,96737.89722,0,0,0,0,0
"O76094",0,0,0,0,0,0,0,0,0,0,0,0
"P11277",19314.16944,0,0,0,0,0,5707.747222,0,0,0,0,0
"Q1KMD3",17204.06944,15847.525,17715.21111,11832.575,11758.93889,16653.17778,16143.24444,18957.21389,0,27509.79444,15633.68889,15001.91111
"Q01469",0,0,0,0,0,0,0,0,0,0,0,0
"Q9HC35",6569.588889,4621.888889,0,10701.53611,9559.830556,0,8082.066667,8404.697222,0,25444.86389,0,0
"P21980",64702.21944,133013.9667,20275.925,22174.56667,88904.66111,61900.07778,61451.05556,133921.8944,30568.05556,18957.21389,87070.10833,59735.84722
"P50993",8082.066667,24565.31111,29987.46944,17715.21111,3130.811111,38212.23333,8906.125,29005.53333,25844.29444,19175.71667,0,31289.59444
"P06733",838302.8639,1057986.386,913960.0111,1130692.189,1219163.714,1219163.714,885197.1139,1027249.636,940141.9917,1130692.189,1507483.567,1300717.747
"P04733",258247.0806,131429.775,51615.29444,174540.8333,124568.0333,2714.897222,269679.725,143056.5028,53114.31944,180535.0917,120491.125,0
"P22059",0,2572.502778,0,1459.711111,5346.030556,2314.394444,0,26157.96667,22496.77222,0,19247.69722,0
"Q8N8N7",15740.34722,0,0,40359.89444,2671.455556,44797.68889,43497.88611,0,0,45107.12778,0,54478.54167
"Q9BUF5",27509.79444,0,0,25129.85556,3234.427778,21468.525,11223.05,0,0,23827.06111,0,47101.825
"Q5T440",18045.24167,13166.66389,25487.30278,16436.64444,14224.84722,9120.119444,14628.94722,17029.86667,27967.68056,33116.58889,16436.64444,32403
"P35580",132774.2111,98104.31111,83114.38611,91020.11389,103356.1556,95057.04722,131151.9083,101915.8611,86569.10833,85740.41667,106131.1806,103736.4667
"Q12792",5768.044444,4980.638889,6211.608333,4398.755556,3282.130556,2282.408333,7665.211111,8569.097222,9065.825,8667.869444,6462.55,6339.455556
"Q14344",0,0,0,19577.77222,0,28905.51389,0,0,0,0,21949.825,24655.11389
"P32189",84571.84444,87502.26389,95057.04722,95951.08056,76787.61667,46763.47778,89204.91389,82528.65,85345.175,95951.08056,82107.81944,51480.32778
"Q96C23",215427.0333,32524.26667,200648.9667,198832.2417,143381.05,189251.4111,198832.2417,79816.24167,204267.3556,200648.9667,149121.2139,182794.55
"Q9UNE7",29369.21944,0,0,37386.23333,27191.27222,0,23318.46944,0,0,0,18431.09167,38576.91389
"Q9BW92",0,0,0,0,0,0,0,0,0,0,0,0
"P49189",276628.6194,167180.6528,165765.8556,171211.3833,195557.7861,279247.3833,184650.4972,163095.2222,253890.9056,167180.6528,189251.4111,294964.2667
"Q93091",89349.21389,92823.64722,75049.44167,76685.11389,102711.5194,69590.70833,90344.07778,98104.31111,74656.38611,73098.975,101544.7639,70281.08889
"Q96CX2",28140.72778,39433.15556,32143.85556,8603.886111,41004.78056,71658.52222,31231.33611,38012.42778,32940.66111,43945.29444,64901.59167,31084.26944
"Q9Y281",6723.505556,0,8569.097222,3405.972222,1481.225,0,6679.15,0,10170.48889,29111.44444,0,0
"P18206",156268.85,132107.8222,117967.275,111940.7639,142306.7667,142306.7667,154819.925,143381.05,122386.3056,114195.5,159352.6944,133313.0778
"Q9HBL0",93734.03056,68790.77222,89804.98056,82528.65,81325.09444,86569.10833,93587.74722,57523.94167,73631.48889,82528.65,78216.50833,85740.41667
"Q9BY49",19108.58056,0,28027.68333,19912.98333,0,11115.65833,32815.68333,0,40795.66111,35772.375,0,19849.41111
"P09496",111940.7639,162665.875,99028.475,123793.9444,113400.2778,117967.275,114480.7917,163494.7444,110611.0861,92200.61944,124568.0333,120491.125
"P14866",58932.00278,69495.64167,0,0,74156.40556,65262.98611,41190.06944,67021.11944,56135.89722,58436.30556,60605.32778,60788.275
"P22830",24411.29444,16600.60833,29005.53333,34991.43889,10890.85833,61155.07222,15184.38056,21949.825,25539.53056,31720.91389,10434.71389,56247.06111
"P20472",0,19912.98333,25669.13056,35969.43889,5255.061111,14303.04722,0,23631.73889,24858.78611,43815.96667,9347.894444,24779.10556
"P16444",243050.1056,193664.7694,264324.1,49915.78611,142679.6028,122859.8556,255122.1,194290.5694,290924.3778,81054.53889,160172.6972,127797.3361
"Q99627",0,0,0,0,16249.23333,0,0,12107.39444,0,15951.22778,0,0
"O00592",70281.08889,125846.9583,81771.47778,67976.03333,122386.3056,67454.83889,69717.975,129657.6861,86222.4,71375.86667,121609.5972,71011.47778
"Q15349",0,0,0,0,0,0,0,0,0,0,0,0
"Q96HY6",5634.227778,3234.427778,0,7930.744444,1681.497222,4463.661111,0,0,0,8242.808333,0,6264.758333
"P62937",613850.5417,670786.8861,651711.1083,623040.5528,682653.8611,970053.3306,682653.8611,659554.425,643592.9806,597545.5028,651711.1083,940141.9917
"Q9NZ45",83516.5,109006.6667,0,0,0,111549.7083,79584.07222,114920.9583,111940.7639,0,0,111001.2528
"Q9BQI0",6838.705556,5836.422222,10701.53611,19506.66944,2139.413889,29052.19167,7830.575,9293.766667,13166.66389,23631.73889,7530.066667,30568.05556
"O43684",20764.94722,10649.17222,12744.35,0,6339.455556,6142.9,16953.34444,16477.30556,12617.17778,12154.00556,16249.23333,12444.31389
"P68366",259314.5667,202618.1889,235242.4556,271920.3667,290924.3778,244865.7333,258247.0806,193664.7694,243907.8889,263299.0583,304443.9417,234531.5528
"P13671",68707.95,73200.34722,56433.61389,55431.71944,60888.91667,51690.70556,10943.79722,72761.175,58618.04722,101544.7639,0,0
"Q9BS40",25255.73611,0,0,19849.41111,2471.813889,0,0,26011.68611,0,0,0,0
"Q92688",0,0,0,0,0,36705.59722,0,0,0,0,0,39140.5
"P48643",115306.4,112930.5944,129657.6861,45944.75278,122599.5083,39208.25,29538.92222,53514.58889,38130.55,133921.8944,110778.1306,128471.9694
"Q8NI22",30039.09167,31720.91389,36763.91944,35817.41111,26093.66667,26157.96667,34506.98889,36282.92222,27035.89444,0,21073.91944,22496.77222
"P34896",308775.6972,246687.75,263299.0583,341137.1667,307204.9611,290924.3778,301234.9028,271920.3667,260389.5194,331530.4917,292456.0528,276628.6194
"Q9UHV9",22426.11389,46895.875,26093.66667,36144.325,18200.78056,20892.73056,23942.70278,27367.98056,21883.76111,31161.05556,0,25178.94444
"P37840",23498.14722,11167.62222,11832.575,0,0,8792.511111,45258.62222,0,0,0,0,0
"Q8N0W3",0,0,0,0,0,0,0,0,0,0,0,0
"P43307",0,0,0,0,0,0,0,0,0,0,0,0
"Q5T3F8",441856.5167,469971.2417,171211.3833,196208.4583,513437.9,370040.4583,474797.0194,441856.5167,197524.1667,232556.0972,582535.6889,390317.4667
"P25789",97756.43611,108554.7139,108770.2389,107856.9944,123432.0361,93734.03056,68064.10278,108770.2389,99806.28611,106131.1806,111001.2528,107375.6583
"P27105",12154.00556,20961.98611,0,6047.897222,2734.252778,7203.25,11680.59444,16953.34444,0,22426.11389,12983.18889,11589.475
"P41250",19983.67222,14628.94722,19849.41111,19108.58056,15001.91111,9890.291667,24779.10556,21509.59167,17484.31944,17309.98333,16768.37222,0
"O15020",0,0,17778.32222,0,0,0,0,22055.12778,0,0,15243.89167,9504.372222
"O00483",88437.70278,155137.875,127797.3361,127141.2083,103144.4417,153041.1778,83666.13889,121609.5972,120716.1944,151558.8611,102116.3306,128776.1694
"Q6YP21",0,0,53240.82222,0,43497.88611,47954.475,42678.39444,0,57623.33889,55100.23333,46689.51111,53434.89167
"P63173",56433.61389,76685.11389,70903.29444,71531.77778,74405.99722,72497.49722,61777.62778,79299.875,72866.16111,70812.28889,79971.32778,76787.61667
"P30050",60888.91667,76018.00556,66141.675,65580.5,79161.39722,74780.30833,64229.40556,77709.525,67233.21944,64601.65278,77709.525,69495.64167
"O00244",136629.5861,118793.3722,119242.6611,127429.6806,91800.23889,89204.91389,136063.9972,119650.7611,115537.0722,106620.2972,81771.47778,88118.88056
"Q16775",148188.175,84436.99722,144761.6306,139288.4583,96737.89722,92512.36667,143056.5028,86395.17778,132404.4361,140112.6278,99627.9,92973.79722
"P38646",290924.3778,329906.4222,381249.475,359398.6278,343261.9917,317227.1472,288001.7778,315747.9639,387432.1583,365975.5472,359398.6278,299487.4639
"Q9UHG3",118793.3722,113916.8111,112680.0639,112930.5944,132404.4361,122599.5083,116548.9417,108357.3056,113400.2778,130216.0056,139288.4583,136063.9972
"P78540",0,16046.75556,0,0,0,0,0,0,0,0,0,0
"Q01082",139288.4583,150009.175,141575.7361,123135.8278,145510.7972,131767.875,133921.8944,150524.4639,148739.0889,115306.4,158583.5167,136629.5861
"P50053",235242.4556,259314.5667,375463.4361,253890.9056,314250.0694,114678.2556,286640.3306,268122.8361,365975.5472,266898.1167,270810.8833,163494.7444
"Q9BWS9",10577.49444,3282.130556,10207.17361,8003.658333,7428.344444,6264.758333,0,0,12494.7,13793.52222,10013.70278,10943.79722
"P61158",118998.7444,94182.11389,61346.325,25487.30278,77850.57222,109838.8889,48379.87778,54328.41667,73747.38056,44695.74722,88271.58056,112417.95
"Q9BQI9",0,0,0,0,0,0,0,0,0,0,0,0
"Q71UM5",35772.375,31585.27778,32524.26667,42255.78333,23370.88056,38443.16111,31289.59444,45794.93056,29430.84444,54160.36944,63302.14444,0
"P62829",31454.89722,54737.36111,38794.68056,0,44306.31944,29430.84444,28905.51389,51480.32778,41711.94167,57005.17778,51274.71944,0
"Q92575",0,0,0,0,0,0,0,0,0,0,0,0
"P31689",0,21553.00278,18886.76389,28213.44444,23992.28333,12567.36389,25844.29444,25318.95,31345.97222,29242.13056,22946.86111,0
"Q08623",0,12806.98333,0,18045.24167,11279.84722,4980.638889,0,20215.76944,0,15459.05556,13642.38333,0
"Q15063",34506.98889,19983.67222,15951.22778,68503.39167,31345.97222,183399.7111,33626.33611,21261.02778,17146.31111,54056.81111,20892.73056,160172.6972
"Q53FZ2",103144.4417,29052.19167,106131.1806,82107.81944,47858.23889,70596.1,99968.925,29655.41667,102533.6861,66822.64444,45944.75278,85899.78889
"P67809",4776.936111,6462.55,8132.7,2753.830556,2170.697222,2328.733333,6339.455556,11589.475,10993.76944,9504.372222,6838.705556,6615.541667
"Q8N5G0",27796.91111,34787.12222,37940.34444,37098.08611,25378.02778,34856.46667,28403.81389,31389.74722,37526.54444,0,0,37526.54444
"P23381",26736.88611,46553.01944,38365.15,40521.26389,40795.66111,36228.75,29655.41667,49739.87222,33181.99722,35479.70278,15001.91111,30102.46944
"P12109",100135.5778,122047.1528,91628.09722,57623.33889,119650.7611,70389.425,119902.0639,120491.125,111326.7639,74058.15278,115757.125,66927.35556
"P07195",1582979.022,2049548.808,2049548.808,1686137.783,2264993.1,1910377.858,1380456.189,2049548.808,2049548.808,1910377.858,2049548.808,2049548.808
"O96009",71375.86667,0,70596.1,67749.80556,0,0,68419.36667,0,67663.88889,66141.675,46895.875,85221.48611
"P35221",38072.94444,40567.00556,49467.07222,40479.86389,47551.11944,51615.29444,36073.49722,39644.09722,47039.95,39208.25,48314.38056,53026.19444
"Q96GK7",0,17204.06944,0,13642.38333,3060.441667,2643.436111,0,20275.925,0,0,13938.16944,26314.17222
"P37235",0,0,0,0,0,0,0,0,0,0,0,0
"Q9NP81",0,0,9611.819444,27967.68056,0,19314.16944,0,0,11680.59444,28070.84444,0,38794.68056
"P12235",56337.17778,87306.24722,70812.28889,70903.29444,62603.47222,118268.9778,48594.65,90661.31389,52700.48333,71739.48889,64790.48611,117705.0667
"Q9Y5L4",0,0,0,0,0,63988.55,0,0,0,0,41913.79722,64901.59167
"P10768",57850.98889,87836.96111,90534.5,45354.11944,57265.41389,53711.55833,59540.84444,92336.88611,60214.33611,43279.69444,62503.04167,47954.475
"Q9NX14",40420.68611,55431.71944,56715.96111,87836.96111,63548.53889,53831.875,40935.27222,99968.925,94182.11389,84319.77778,58695.52778,72396.48333
"P28074",0,0,0,0,0,34654.41944,0,0,0,0,0,36763.91944
"Q86XW9",161046.5389,196208.4583,139288.4583,167180.6528,159352.6944,140860.8611,158583.5167,223143.9167,141996.6361,0,0,134798.0389
"O60664",14502.54722,14687.36667,22122.35556,11680.59444,20892.73056,17309.98333,25129.85556,15847.525,23432.30833,15575.29444,17916.59167,17916.59167
"Q9UNS2",0,0,0,0,4529.997222,0,0,0,0,0,0,0
"P35637",58618.04722,0,59540.84444,63640.03333,55254.21389,56337.17778,0,0,60605.32778,50724.91389,0,59225.875
"P62495",142679.6028,61900.07778,94182.11389,34916.06389,39986.90278,60214.33611,171594.5194,57737.64444,103555.3472,70713.01944,68303.94444,69717.975
"O95340",0,0,0,12494.7,0,0,0,0,0,0,0,0
"Q9NYL9",27967.68056,30488.41389,24858.78611,25844.29444,29748.37222,27432.71944,9416.930556,29487.39444,27593.38056,20708.81667,9155.547222,19019.675
"Q99536",106620.2972,117967.275,100135.5778,117389.5083,113916.8111,95661.27222,93424.58611,117106.9389,103736.4667,124294.3139,119650.7611,94670.17778
"P17900",85345.175,0,33325.86111,68707.95,32198.96944,34325.01389,36422.79444,0,38266.54167,75049.44167,47623.21667,47788.14722
"P31153",78216.50833,52008.525,66571.79167,67021.11944,79458.76944,56433.61389,71739.48889,71252.18889,69039.95833,55431.71944,53831.875,45654.69722
"Q9BVM4",100310.0389,31231.33611,161046.5389,135034.975,85094.46667,215427.0333,97335.61944,27857.94167,172575.7444,136063.9972,81635.41944,206752.4528
"Q9BPX5",80741.55556,68064.10278,80102.56944,74656.38611,72866.16111,71906.43056,78216.50833,66704.825,78547.76944,102533.6861,75400.28333,72977.35278
"Q99426",16907.93333,24858.78611,17916.59167,16046.75556,26157.96667,17204.06944,23631.73889,25539.53056,22003.32778,22664.18889,25318.95,17080.19444
"Q8N684",0,308775.6972,0,0,279247.3833,0,0,0,0,0,0,0
"P22102",0,29369.21944,0,0,0,24779.10556,0,26881.08056,28951.33611,0,0,0
