"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"A0A024R3R1",0,0,0,0,0,0,0,0,0,0,0,0
"A0AVF1",0,0,0,0,0,0,0,0,0,0,0,0
"A0FGR8",0,0,0,0,0,0,0,0,0,0,0,0
"A0FGR9",0,0,0,0,0,0,0,0,0,0,0,0
"A0JLT2",0,0,0,0,0,0,0,0,0,0,0,0
"A1A4S6",0,0,0,0,0,0,0,0,0,0,0,0
"A1Z199",0,1,0,1,1,1,0,1,0,0,0,0
"A2A288",0,0,0,0,0,0,0,0,0,0,0,0
"A5D8V6",0,0,0,0,0,0,0,0,0,0,0,0
"A5YKK6",0,0,0,0,0,0,0,0,0,0,0,0
"A6H8Y1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NED2",0,0,0,0,0,0,0,0,0,0,0,0
"A6NGQ2",0,0,0,0,0,0,0,0,0,0,0,0
"A6NKF1",0,0,0,0,0,0,0,0,0,0,0,0
"A6QQ77",0,0,0,0,0,0,0,0,0,0,0,0
"A7MCY6",0,0,0,0,0,0,0,0,0,0,0,0
"A8K0Z3",0,0,0,0,0,0,0,0,0,0,0,0
"A8K8P3",0,0,0,0,0,0,0,0,0,0,0,0
"A8MT69",0,0,0,0,0,0,0,0,0,0,0,0
"A8MTZ0",0,0,0,0,0,0,0,0,0,0,0,0
"D6RGH6",0,0,0,0,0,0,0,0,0,0,0,0
"O00116",0,0,0,0,0,0,0,0,0,0,0,0
"O00141",0,0,0,0,0,0,0,0,0,0,0,0
"O00148",0,0,0,0,0,0,0,0,0,0,0,0
"O00151",0,0,0,0,0,0,0,0,0,0,0,0
"O00159",0,0,0,0,0,0,0,0,0,0,0,0
"O00161",0,0,0,0,0,0,0,0,0,0,0,0
"O00165",0,0,0,0,0,0,0,0,0,0,0,0
"O00189",0,0,0,0,0,0,0,0,0,0,0,0
"O00203",0,0,0,0,0,0,0,0,0,0,0,0
"O00206",0,0,0,0,0,0,0,0,0,0,0,0
"O00212",0,0,0,0,0,0,0,0,0,0,0,0
"O00213",0,0,0,0,0,0,0,0,0,0,0,0
"O00217",0,0,0,0,0,0,0,0,0,0,0,0
"O00219",0,0,0,0,0,0,0,0,0,0,0,0
"O00221",0,0,0,0,0,0,0,0,0,0,0,0
"O00222",0,0,0,0,0,0,0,0,0,0,0,0
"O00231",1,1,1,1,1,1,1,1,1,1,1,1
"O00232",1,1,1,1,1,1,1,1,1,1,1,1
"O00233",1,1,1,1,1,1,1,1,1,1,1,1
"O00255",0,0,0,0,0,0,0,0,0,0,0,0
"O00257",0,0,0,0,0,0,0,0,0,0,0,0
"O00264",0,0,0,0,0,0,0,0,0,0,0,0
"O00267",0,0,0,0,0,0,0,0,0,0,0,0
"O00268",0,0,0,0,0,0,0,0,0,0,0,0
"O00287",0,0,0,0,0,0,0,0,0,0,0,0
"O00303",0,0,0,0,0,0,0,0,0,0,0,0
"O00311",0,0,0,0,0,0,0,0,0,0,0,0
"O00327",0,0,0,0,0,0,0,0,0,0,0,0
"O00401",0,0,0,0,0,0,0,0,0,0,0,0
"O00422",0,0,0,0,0,0,1,0,0,0,0,0
